Rank,Word,Translate,,
1,the,آن - (حرف تعریف),the , دِ
2,be,"بودن - (فعل، حالت پایه)",be , بی
3,to,به - (حرف اضافه),to , تو
4,and,و - (حرف ربط),and , اَند
5,a,یک - (حرف تعریف نکره),a , ا
6,of,از - (حرف اضافه),of , آو
7,i,"من - (ضمیر، اول شخص مفرد)",i , آی
8,in,در - (حرف اضافه),in , این
9,that,که - (حرف ربط),that , دَت
10,you,"شما - (ضمیر، دوم شخص مفرد و جمع)",you , یو
11,have,"داشتن - (فعل، حال ساده)",have , هَو
12,it,"آن - (ضمیر، سوم شخص مفرد)",it , ایت
13,do,"انجام دادن - (فعل، حال ساده)",do , دو
14,for,برای - (حرف اضافه),for , فُر
15,on,روی - (حرف اضافه),on , آن
16,with,با - (حرف اضافه),with , ویت
17,he,"او (مذکر) - (ضمیر، سوم شخص مفرد مذکر)",he , هی
18,this,این - (ضمیر اشاره),this , دیس
19,as,به عنوان - (حرف اضافه/حرف ربط),as , اَز
20,we,"ما - (ضمیر، اول شخص جمع)",we , وی
21,but,اما - (حرف ربط),but , بَت
22,not,نه - (قید),not , نات
23,they,"آنها - (ضمیر، سوم شخص جمع)",they , ذِی
24,what,چه - (ضمیر سوالی),what , وات
25,at,در - (حرف اضافه),at , اَت
26,my,"من (ملکی) - (ضمیر ملکی، اول شخص مفرد)",my , مای
27,his,"او (مذکر) (ملکی) - (ضمیر ملکی، سوم شخص مفرد مذکر)",his , هیز
28,get,"گرفتن - (فعل، حال ساده)",get , گِت
29,go,"رفتن - (فعل، حال ساده)",go , گو
30,from,از - (حرف اضافه),from , فِرُم
31,will,"خواهد - (فعل کمکی، آینده)",will , ویل
32,say,"گفتن - (فعل، حال ساده)",say , سِی
33,can,توانستن - (فعل کمکی),can , کَن
34,by,توسط - (حرف اضافه),by , بای
35,or,یا - (حرف ربط),or , اُر
36,all,همه - (ضمیر),all , آل
37,me,"من (مفعولی) - (ضمیر مفعولی، اول شخص مفرد)",me , می
38,she,"او (مؤنث) - (ضمیر، سوم شخص مفرد مؤنث)",she , شی
39,so,بنابراین - (قید/حرف ربط),so , سو
40,there,آنجا - (قید مکان),there , ذِر
41,about,درباره - (حرف اضافه),about , اَبائوت
42,your,"شما (ملکی) - (ضمیر ملکی، دوم شخص مفرد و جمع)",your , یُر
43,one,یک - (عدد),one , وان
44,if,اگر - (حرف شرط),if , ایف
45,her,"او (مؤنث) (ملکی) - (ضمیر ملکی، سوم شخص مفرد مؤنث)",her , هِر
